,id,title,poster_path,backdrop_path
75,29259,Le Trou,/8kxtOm7D992iAaOzUoWmNQwbXjs.jpg,/f72GEQF2lKsdmEULSI9bWCbQylH.jpg
76,652837,"Josee, the Tiger and the Fish",/xAbSLi61npWyVs5M0yxin3dKcGO.jpg,/i1GT0e6Crg6UezT3ibXnMS3pBAd.jpg
77,632632,Given,/3trPz7muDOv4AHjDZiD3MLGls2Q.jpg,/u1wHUA0R48FH4WV3sGqjwx3aNZm.jpg
78,16672,Woman in the Dunes,/f0JpsMQ9oEjKBD66Ky3qK3z7LGT.jpg,/oOM2JzhVBjWyZFHW2iBQQ8A3znY.jpg
79,527641,Five Feet Apart,/kreTuJBkUjVWePRfhHZuYfhNE1T.jpg,/27ZkYMWynuK2qiDP6awc3MsCaOs.jpg
80,975,Paths of Glory,/p7OHwomA8UOhe3EhckF2IetBTh9.jpg,/354kfjVb96mtFALMhBE6jzHGiA2.jpg
81,1585,It's a Wonderful Life,/bSqt9rhDZx1Q7UZ86dBPKdNomp2.jpg,/ch3lDc4xQ9MpsNEpnRhvR8PIxxK.jpg
82,637920,Miracle in Cell No. 7,/bOth4QmNyEkalwahfPCfiXjNh1r.jpg,/inEy3A5OPgeYW4rjRiGycfEeQzA.jpg
83,25237,Come and See,/qNbMsKVzigERgJUbwf8pKyZogpb.jpg,/6C1U0cKK5zGjyUSwNc5GLSVCr7Y.jpg
84,10376,The Legend of 1900,/iOcbJ5pxokOPDRgieVDbsFMrCc6.jpg,/6rmb35g7XoMCMQtnbH0rUecFZlV.jpg
85,670,Oldboy,/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg,/sdwjQEM869JFwMytTmvr6ggvaUl.jpg
86,533514,Violet Evergarden: The Movie,/fwSonK8WrAEqWY7sqjvGRCgzIij.jpg,/aLqtWLA6NQHBwQHvHDq5z4EKUm0.jpg
87,630566,Clouds,/d0OdD1I8qAfETvE9Rp9Voq7R8LR.jpg,/nbAbAk80aWCpOS5kOPYJ1L9kE1R.jpg
88,8587,The Lion King,/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,/wXsQvli6tWqja51pYxXNG1LFIGV.jpg
89,299534,Avengers: Endgame,/or06FN3Dka5tukK1e9sl16pB3iy.jpg,/7RyHsO4yDXtBv1zUU3mTpHeQ0d5.jpg
90,283566,Evangelion: 3.0+1.0 Thrice Upon a Time,/md5wZRRj8biHrGtyitgBZo7674t.jpg,/1EAxNqdkVnp48a7NUuNBHGflowM.jpg
91,618344,Justice League Dark: Apokolips War,/c01Y4suApJ1Wic2xLmaq1QYcfoZ.jpg,/sQkRiQo3nLrQYMXZodDjNUJKHZV.jpg
92,299536,Avengers: Infinity War,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg
93,508965,Klaus,/q125RHUDgR4gjwh1QkfYuJLYkL.jpg,/mlxKite1x1PgmIhJgAxNS9eHmH8.jpg
94,315162,Puss in Boots: The Last Wish,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,/jr8tSoJGj33XLgFBy6lmZhpGQNu.jpg
95,490132,Green Book,/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,/5En0fmDagt3Pk8d7P3uTwfeQceg.jpg
96,572154,Rascal Does Not Dream of a Dreaming Girl,/gsRpizQa3fw1um8v7EvFVXvxD6u.jpg,/5MgMCnslrxQfOfaq6T5ndkLlcCk.jpg
97,504253,I Want to Eat Your Pancreas,/qpV8kvRfAntV7D4aOOsLIz7OdPc.jpg,/YLyORLsYIjC0d1TFBSpJKk7piP.jpg
98,265177,Mommy,/nT4VJ6MfSwUoCorYmkcLVaIenya.jpg,/dIHezuC3AmylT8mkXQiWSjz2wJR.jpg
99,42269,We All Loved Each Other So Much,/zGGWYpiKNwjpKxelPxOMqJnUgDs.jpg,/2Kkqmy3EpXqBDqv1vvsNXX3pwww.jpg
100,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,/qjGrUmKW78MCFG8PTLDBp67S27p.jpg
101,290098,The Handmaiden,/dLlH4aNHdnmf62umnInL8xPlPzw.jpg,/2b3RNXF7ca9bgX8FrjRBYfLnNQC.jpg
102,361743,Top Gun: Maverick,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,/AaV1YIdWKnjAIAOe8UUKBFm327v.jpg
103,110420,Wolf Children,/3Nllh6JgcrFdtOn6iFOWHudNInd.jpg,/eNWjMbuhGxJdzaIY9ZZ2KvWx2sQ.jpg
104,654299,Out of the Clear Blue Sky,/xg6QZdlHrq2dtSK8cfnQQMnmpeY.jpg,/o33acwn7KliNpJRbjy4FrMSpiQ9.jpg
105,16869,Inglourious Basterds,/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,/hg0MTIFs49ef179C9Y1HRtzqbbK.jpg
106,694,The Shining,/nRj5511mZdTl4saWEPoj9QroTIu.jpg,/mmd1HnuvAzFc4iuVJcnBrhDNEKr.jpg
107,98,Gladiator,/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,/4I14RDX6gZPpXkHmbcqvAKpn3Dw.jpg
108,37257,Witness for the Prosecution,/mM5Cad2ESBprh6ucPnMzMfI34Cu.jpg,/evUB9YKE5IPPtQOchcEF6hS90BO.jpg
109,354912,Coco,/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,/askg3SMvhqEl4OL52YuvdtY40Yb.jpg
110,603,The Matrix,/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,/8K9qHeM6G6QjQN0C5XKFGvK5lzM.jpg
111,857,Saving Private Ryan,/uqx37cS8cpHg8U35f9U5IBlrCV3.jpg,/bdD39MpSVhKjxarTxLSfX6baoMP.jpg
112,522924,The Art of Racing in the Rain,/mi5VN4ww0JZgRFJIaPxxTGKjUg7.jpg,/96sS0woEzf0zFSWjHVblOhsBfGd.jpg
113,20334,The Shop Around the Corner,/dZ1aEzGYRiqJwPfjS6VL7wUkHmF.jpg,/wqgZSvgoctaadgwUdPYVsksivxn.jpg
114,284,The Apartment,/hhSRt1KKfRT0yEhEtRW3qp31JFU.jpg,/vRTKNKNWLZ22fAgPa5kY8wT2b1F.jpg
